Year,Title,IMDb,RottenTomatoes,Service
2020,A Whisker Away,6.7,81,Netflix
2017,Lady Bird,7.4,81,Netflix
2002,Road to Perdition,7.7,81,Netflix
1997,Boogie Nights,7.9,81,Netflix
1990,Total Recall,7.5,81,Netflix
2021,Bo Burnham: Inside,8.8,81,Netflix
2013,Snowpiercer,7.1,81,Netflix
2019,Circus of Books,7.1,81,Netflix
2016,Tallulah,6.7,81,Netflix
2016,The Conjuring 2,7.3,81,Netflix
2018,They'll Love Me When I'm Dead,7.4,81,Netflix
2016,Nocturnal Animals,7.5,81,Netflix
2017,Get Me Roger Stone,7.3,81,Netflix
2009,Hachi: A Dog's Tale,8.1,81,Netflix
1990,Dances with Wolves,8,80,Netflix
2016,Udta Punjab,7.8,80,Netflix
2017,Bareilly's Barfi,7.5,80,Netflix
2016,Divines,7.4,80,Netflix
2017,Maktub,7.3,80,Netflix
2017,Ittefaq,7.2,80,Netflix
2018,Hannah Gadsby: Nanette,8.3,80,Netflix
2018,Ali Wong: Hard Knock Wife,7.4,80,Netflix
2008,Seven Pounds,7.6,80,"Prime Video, Netflix"
2019,Uncut Gems,7.4,80,Netflix
2018,The Kindergarten Teacher,6.7,80,Netflix
2012,Les Misérables,7.6,80,"Prime Video, Netflix"
2019,The Sky Is Pink,7.6,80,Netflix
2018,Next Gen,6.6,80,Netflix
2018,Tom Segura: Disgraceful,7.6,80,Netflix
2017,My Happy Family,7.4,80,Netflix
2018,The American Meme,6.6,80,Netflix
2019,Badla,7.8,80,Netflix
2018,Okko's Inn,7.1,80,Netflix
2020,The Willoughbys,6.4,80,Netflix
2016,Hunt for the Wilderpeople,7.9,80,"Hulu, Netflix"
2007,Stardust,7.6,79,Netflix
2017,Wheelman,6.4,79,Netflix
2011,The Artist,7.9,79,"Hulu, Netflix"
2018,On My Skin,7.3,79,Netflix
2017,Gaga: Five Foot Two,7,79,Netflix
2011,Hugo,7.5,79,Netflix
2012,The Impossible,7.6,79,Netflix
2016,War Dogs,7.1,79,Netflix
2008,Ip Man,8,79,Netflix
2020,The Speed Cubers,7.4,79,Netflix
2011,Kung Fu Panda 2,7.2,79,Netflix
2019,The Dirt,7,79,Netflix
2018,Andhadhun,8.2,79,Netflix
2019,Atlantics,6.7,79,Netflix
2019,37 Seconds,7.3,79,Netflix
2019,El Camino: A Breaking Bad Movie,7.3,79,Netflix
2003,Underworld,7,79,"Hulu, Prime Video, Netflix"
2002,The Ring,7.1,79,"Prime Video, Netflix"
2018,Hold the Dark,5.6,79,Netflix
1984,The Karate Kid,7.3,79,Netflix
2018,Quincy,7.6,79,Netflix
2000,The Patriot,7.2,79,Netflix
2019,Get In,5.6,79,Netflix
2019,ZZ Top: That Little Ol' Band From Texas,7.5,79,Netflix
2017,Jerry Before Seinfeld,7,79,Netflix
2019,Mike Birbiglia: The New One,7.7,78,Netflix
2016,A Silent Voice: The Movie,8.2,78,Netflix
2019,Klaus,8.2,78,Netflix
2016,Snowden,7.3,78,Netflix
2017,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",7.7,78,Netflix
1993,What's Eating Gilbert Grape,7.7,78,Netflix
2006,The Da Vinci Code,6.6,78,"Hulu, Netflix"
2006,Stranger Than Fiction,7.5,78,Netflix
2011,Don 2,7.1,78,Netflix
2013,Elena,7.6,78,Netflix
2011,Real Steel,7,78,Netflix
2017,The Founder,7.2,78,Netflix
1994,Stargate,7.1,78,Netflix
2018,Shirkers,7.4,78,Netflix
2014,Chef,7.3,78,Netflix
2013,Fire in the Blood,7.7,78,Netflix
1997,Austin Powers: International Man of Mystery,7,78,Netflix
2019,Miles Davis: Birth of the Cool,7.4,78,Netflix
2010,Insidious,6.8,78,Netflix
