x,y,name,role,n,xend,yend,weight
0,0.1223481285853371,Paresh Rawal,cast,28,0.8764188689399065,0.2144525143213662,6
0,0.1223481285853371,Paresh Rawal,cast,28,0.6325972957402296,0.47513578265396444,NA
0,0.1223481285853371,Paresh Rawal,cast,28,1,0.01460660929025799,NA
0,0.1223481285853371,Paresh Rawal,cast,28,0.5951106267093207,0.09962281512732145,4
0,0.1223481285853371,Paresh Rawal,cast,28,0.8913765666155853,0.5360886166948104,NA
0,0.1223481285853371,Paresh Rawal,cast,28,0.4383371101689941,0.7697288120107393,NA
0,0.1223481285853371,Paresh Rawal,cast,28,0.06674514957643601,0.3775202343750486,NA
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.3533790604480337,0.7216917462076694,8
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.29982666670346714,0.6190460314403681,NA
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.8473076064086437,0.5708085437787178,6
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.5220248005480416,0,NA
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.4048764929395488,0.8049029428215323,NA
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.5866323511701816,0.27103280666446145,10
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.4403561650564022,1,2
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.8185030981111335,0.0779654465716947,NA
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.07309052920460635,0.5413258202890004,4
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0,0.1223481285853371,2
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.8764188689399065,0.2144525143213662,4
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.6325972957402296,0.47513578265396444,NA
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,1,0.01460660929025799,NA
0.008855315190928456,0.7123154151034568,Anupam Kher,cast,43,0.5951106267093207,0.09962281512732145,2
