"","Year","Title","IMDb","RottenTomatoes","Netflix","Hulu","PrimeVideo","DisneyPlus","Service"
"83",1975,"Monty Python and the Holy Grail",8.2,84,1,0,0,0,"Netflix"
"84",2007,"The Pixar Story",7.8,84,1,0,0,0,"Netflix"
"85",2020,"Ma Rainey's Black Bottom",7,84,1,0,0,0,"Netflix"
"86",2018,"Calibre",6.8,84,1,0,0,0,"Netflix"
"87",2012,"Silver Linings Playbook",7.7,84,1,0,0,0,"Netflix"
"88",2020,"Over the Moon",6.4,84,1,0,0,0,"Netflix"
"89",2015,"What Happened, Miss Simone?",7.6,84,1,0,0,0,"Netflix"
"90",2014,"Nightcrawler",7.8,84,1,0,0,0,"Netflix"
"91",2017,"1922",6.3,84,1,0,0,0,"Netflix"
"92",2019,"Paddleton",7.2,84,1,0,0,0,"Netflix"
"93",2017,"Cargo",6.3,84,1,0,0,0,"Netflix"
"94",1988,"Rain Man",8,83,1,0,0,0,"Netflix"
"95",2017,"Cuba and the Cameraman",8.3,83,1,0,0,0,"Netflix"
"96",2017,"The Ritual",6.3,83,1,0,0,0,"Netflix"
"97",2020,"The Hater",7.1,83,1,0,0,0,"Netflix"
"98",2019,"The Edge of Democracy",7.2,83,1,0,0,0,"Netflix"
"99",2018,"22-Jul",6.8,83,1,0,0,0,"Netflix"
"100",2018,"Adam Sandler: 100% Fresh",7.6,83,1,0,0,0,"Netflix"
"101",2007,"Guru",7.7,83,1,0,0,0,"Netflix"
"102",2018,"A Twelve-Year Night",7.5,83,1,0,0,0,"Netflix"
"103",2018,"Dumplin'",6.6,83,1,0,0,0,"Netflix"
"104",2013,"The Conjuring",7.5,83,1,0,0,0,"Netflix"
"105",2019,"Marriage Story",7.9,83,1,0,0,0,"Netflix"
"106",2020,"My Octopus Teacher",8.1,83,1,0,0,0,"Netflix"
"107",2013,"About Time",7.8,83,1,0,0,0,"Netflix"
"108",2017,"Hey Arnold! The Jungle Movie",7.6,83,1,1,0,0,"Hulu, Netflix"
"109",2008,"Kung Fu Panda",7.6,83,1,0,0,0,"Netflix"
"110",2007,"Superbad",7.6,83,1,0,0,0,"Netflix"
"111",2016,"The Invisible Guest",8.1,83,1,0,0,0,"Netflix"
"112",1974,"Chinatown",8.2,82,1,0,0,0,"Netflix"
"113",2003,"Mystic River",7.9,82,1,0,0,0,"Netflix"
"114",2014,"The Theory of Everything",7.7,82,1,0,0,0,"Netflix"
"115",2018,"Springsteen On Broadway",8.5,82,1,0,0,0,"Netflix"
"116",2020,"The Life Ahead",6.8,82,1,0,0,0,"Netflix"
"117",2004,"The Terminal",7.4,82,1,0,1,0,"Prime Video, Netflix"
"118",2010,"Scott Pilgrim vs. the World",7.5,82,1,0,0,0,"Netflix"
"119",2011,"Being Elmo: A Puppeteer's Journey",7.6,82,1,0,0,0,"Netflix"
"120",1979,"Life of Brian",8.1,82,1,0,0,0,"Netflix"
"121",2018,"The Resistance Banker",6.9,82,1,0,0,0,"Netflix"
"122",2014,"How to Train Your Dragon 2",7.8,82,1,0,0,0,"Netflix"
"123",2019,"The Endless Trench",7.2,82,1,0,0,0,"Netflix"
"124",2010,"Even the Rain",7.4,82,1,0,0,0,"Netflix"
"125",2003,"Love Actually",7.6,82,1,0,0,0,"Netflix"
"126",2018,"Dear Ex",7.4,82,1,0,0,0,"Netflix"
"127",2018,"Braven",5.9,82,1,0,0,0,"Netflix"
"128",2018,"Period. End of Sentence.",7.4,82,1,0,0,0,"Netflix"
"129",2016,"Captain Fantastic",7.9,82,1,0,0,0,"Netflix"
"130",2017,"Veronica",6.2,81,1,0,0,0,"Netflix"
"131",2016,"The Siege of Jadotville",7.2,81,1,0,0,0,"Netflix"
"132",2016,"Into the Inferno",7.2,81,1,0,0,0,"Netflix"
"133",2018,"Ricky Gervais: Humanity",8,81,1,0,0,0,"Netflix"
"134",2020,"A Whisker Away",6.7,81,1,0,0,0,"Netflix"
"135",2017,"Lady Bird",7.4,81,1,0,0,0,"Netflix"
"136",2002,"Road to Perdition",7.7,81,1,0,0,0,"Netflix"
"137",1997,"Boogie Nights",7.9,81,1,0,0,0,"Netflix"
"138",1990,"Total Recall",7.5,81,1,0,0,0,"Netflix"
"139",2021,"Bo Burnham: Inside",8.8,81,1,0,0,0,"Netflix"
"140",2013,"Snowpiercer",7.1,81,1,0,0,0,"Netflix"
"141",2019,"Circus of Books",7.1,81,1,0,0,0,"Netflix"
"142",2016,"Tallulah",6.7,81,1,0,0,0,"Netflix"
"143",2016,"The Conjuring 2",7.3,81,1,0,0,0,"Netflix"
"144",2018,"They'll Love Me When I'm Dead",7.4,81,1,0,0,0,"Netflix"
"145",2016,"Nocturnal Animals",7.5,81,1,0,0,0,"Netflix"
"146",2017,"Get Me Roger Stone",7.3,81,1,0,0,0,"Netflix"
"147",2009,"Hachi: A Dog's Tale",8.1,81,1,0,0,0,"Netflix"
"148",1990,"Dances with Wolves",8,80,1,0,0,0,"Netflix"
"149",2016,"Udta Punjab",7.8,80,1,0,0,0,"Netflix"
"150",2017,"Bareilly's Barfi",7.5,80,1,0,0,0,"Netflix"
"151",2016,"Divines",7.4,80,1,0,0,0,"Netflix"
"152",2017,"Maktub",7.3,80,1,0,0,0,"Netflix"
"153",2017,"Ittefaq",7.2,80,1,0,0,0,"Netflix"
"154",2018,"Hannah Gadsby: Nanette",8.3,80,1,0,0,0,"Netflix"
"155",2018,"Ali Wong: Hard Knock Wife",7.4,80,1,0,0,0,"Netflix"
"156",2008,"Seven Pounds",7.6,80,1,0,1,0,"Prime Video, Netflix"
"157",2019,"Uncut Gems",7.4,80,1,0,0,0,"Netflix"
"158",2018,"The Kindergarten Teacher",6.7,80,1,0,0,0,"Netflix"
"159",2012,"Les Misérables",7.6,80,1,0,1,0,"Prime Video, Netflix"
"160",2019,"The Sky Is Pink",7.6,80,1,0,0,0,"Netflix"
"161",2018,"Next Gen",6.6,80,1,0,0,0,"Netflix"
"162",2018,"Tom Segura: Disgraceful",7.6,80,1,0,0,0,"Netflix"
"163",2017,"My Happy Family",7.4,80,1,0,0,0,"Netflix"
"164",2018,"The American Meme",6.6,80,1,0,0,0,"Netflix"
"165",2019,"Badla",7.8,80,1,0,0,0,"Netflix"
"166",2018,"Okko's Inn",7.1,80,1,0,0,0,"Netflix"
"167",2020,"The Willoughbys",6.4,80,1,0,0,0,"Netflix"
"168",2016,"Hunt for the Wilderpeople",7.9,80,1,1,0,0,"Hulu, Netflix"
"169",2007,"Stardust",7.6,79,1,0,0,0,"Netflix"
"170",2017,"Wheelman",6.4,79,1,0,0,0,"Netflix"
"171",2011,"The Artist",7.9,79,1,1,0,0,"Hulu, Netflix"
"172",2018,"On My Skin",7.3,79,1,0,0,0,"Netflix"
"173",2017,"Gaga: Five Foot Two",7,79,1,0,0,0,"Netflix"
"174",2011,"Hugo",7.5,79,1,0,0,0,"Netflix"
"175",2012,"The Impossible",7.6,79,1,0,0,0,"Netflix"
"176",2016,"War Dogs",7.1,79,1,0,0,0,"Netflix"
"177",2008,"Ip Man",8,79,1,0,0,0,"Netflix"
"178",2020,"The Speed Cubers",7.4,79,1,0,0,0,"Netflix"
"179",2011,"Kung Fu Panda 2",7.2,79,1,0,0,0,"Netflix"
"180",2019,"The Dirt",7,79,1,0,0,0,"Netflix"
"181",2018,"Andhadhun",8.2,79,1,0,0,0,"Netflix"
"182",2019,"Atlantics",6.7,79,1,0,0,0,"Netflix"
"183",2019,"37 Seconds",7.3,79,1,0,0,0,"Netflix"
"184",2019,"El Camino: A Breaking Bad Movie",7.3,79,1,0,0,0,"Netflix"
"185",2003,"Underworld",7,79,1,1,1,0,"Hulu, Prime Video, Netflix"
"186",2002,"The Ring",7.1,79,1,0,1,0,"Prime Video, Netflix"
"187",2018,"Hold the Dark",5.6,79,1,0,0,0,"Netflix"
"188",1984,"The Karate Kid",7.3,79,1,0,0,0,"Netflix"
"189",2018,"Quincy",7.6,79,1,0,0,0,"Netflix"
"190",2000,"The Patriot",7.2,79,1,0,0,0,"Netflix"
"191",2019,"Get In",5.6,79,1,0,0,0,"Netflix"
"192",2019,"ZZ Top: That Little Ol' Band From Texas",7.5,79,1,0,0,0,"Netflix"
"193",2017,"Jerry Before Seinfeld",7,79,1,0,0,0,"Netflix"
"194",2019,"Mike Birbiglia: The New One",7.7,78,1,0,0,0,"Netflix"
"195",2016,"A Silent Voice: The Movie",8.2,78,1,0,0,0,"Netflix"
"196",2019,"Klaus",8.2,78,1,0,0,0,"Netflix"
"197",2016,"Snowden",7.3,78,1,0,0,0,"Netflix"
"198",2017,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",7.7,78,1,0,0,0,"Netflix"
"199",1993,"What's Eating Gilbert Grape",7.7,78,1,0,0,0,"Netflix"
"200",2006,"The Da Vinci Code",6.6,78,1,1,0,0,"Hulu, Netflix"
"201",2006,"Stranger Than Fiction",7.5,78,1,0,0,0,"Netflix"
"202",2011,"Don 2",7.1,78,1,0,0,0,"Netflix"
"203",2013,"Elena",7.6,78,1,0,0,0,"Netflix"
"204",2011,"Real Steel",7,78,1,0,0,0,"Netflix"
"205",2017,"The Founder",7.2,78,1,0,0,0,"Netflix"
"206",1994,"Stargate",7.1,78,1,0,0,0,"Netflix"
"207",2018,"Shirkers",7.4,78,1,0,0,0,"Netflix"
"208",2014,"Chef",7.3,78,1,0,0,0,"Netflix"
"209",2013,"Fire in the Blood",7.7,78,1,0,0,0,"Netflix"
"210",1997,"Austin Powers: International Man of Mystery",7,78,1,0,0,0,"Netflix"
"211",2019,"Miles Davis: Birth of the Cool",7.4,78,1,0,0,0,"Netflix"
"212",2010,"Insidious",6.8,78,1,0,0,0,"Netflix"
"213",2019,"Screwball",7.1,78,1,0,0,0,"Netflix"
"214",2020,"The Old Guard",6.7,78,1,0,0,0,"Netflix"
"215",2011,"Rango",7.2,78,1,0,0,0,"Netflix"
"216",2016,"Before I Wake",6.2,78,1,0,0,0,"Netflix"
"217",2017,"The Disaster Artist",7.4,78,1,0,0,0,"Netflix"
"218",2013,"Fruitvale Station",7.5,77,1,0,0,0,"Netflix"
"219",2017,"The Florida Project",7.6,77,1,0,0,0,"Netflix"
"220",2018,"Behind the Curve",6.5,77,1,0,0,0,"Netflix"
"221",2012,"Lawless",7.3,77,1,0,0,0,"Netflix"
"222",2018,"Errementari: The Blacksmith and the Devil",6.4,77,1,0,0,0,"Netflix"
"223",2016,"Audrie & Daisy",7.2,77,1,0,0,0,"Netflix"
"224",2008,"Quantum of Solace",6.6,77,1,0,0,0,"Netflix"
"225",2012,"The Master",7.2,77,1,0,0,0,"Netflix"
"226",2004,"Layer Cake",7.3,77,1,0,0,0,"Netflix"
"227",2010,"Flipped",7.7,77,1,0,0,0,"Netflix"
"228",2018,"Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life",7.1,77,1,0,0,0,"Netflix"
"229",2011,"Friends with Benefits",6.5,77,1,1,0,0,"Hulu, Netflix"
"230",2015,"Tig",7.4,77,1,0,0,0,"Netflix"
"231",2019,"Roll Red Roll",7.1,77,1,0,0,0,"Netflix"
"232",2020,"Enola Holmes",6.6,77,1,0,0,0,"Netflix"
"233",2015,"PK",8.1,77,1,0,0,0,"Netflix"
"234",2017,"Good Time",7.4,77,1,0,0,0,"Netflix"
"235",2010,"The Next Three Days",7.3,77,1,0,0,0,"Netflix"
"236",2019,"Miracle in Cell No. 7",8.2,77,1,0,0,0,"Netflix"
"237",2007,"Like Stars on Earth",8.4,77,1,0,0,0,"Netflix"
"238",2019,"Trixie Mattel: Moving Parts",7.3,77,1,0,0,0,"Netflix"
"239",2012,"Talaash",7.2,77,1,0,0,0,"Netflix"
"240",2019,"Evelyn",7.1,77,1,0,0,0,"Netflix"
"241",2001,"I Am Sam",7.6,77,1,0,0,0,"Netflix"
"242",2019,"In the Shadow of the Moon",6.2,77,1,0,0,0,"Netflix"
"243",1997,"Neon Genesis Evangelion: The End of Evangelion",8.1,77,1,0,0,0,"Netflix"
"244",2005,"Memoirs of a Geisha",7.3,76,1,0,0,0,"Netflix"
"245",1979,"Mad Max",6.9,76,1,0,0,0,"Netflix"
"246",2018,"John Leguizamo's Latin History for Morons",7.5,76,1,0,0,0,"Netflix"
"247",2018,"And Breathe Normally",6.9,76,1,0,0,0,"Netflix"
"248",2017,"The Killing of a Sacred Deer",7,76,1,0,0,0,"Netflix"
"249",2009,"Angels & Demons",6.7,76,1,1,0,0,"Hulu, Netflix"
"250",2016,"Smoke & Mirrors",6.9,76,1,0,0,0,"Netflix"
"251",2017,"Bright",6.3,76,1,0,0,0,"Netflix"
"252",2008,"Yes Man",6.8,76,1,0,0,0,"Netflix"
"253",2019,"Murder Mystery",6,76,1,0,0,0,"Netflix"
"254",2016,"Pink",8.1,76,1,0,0,0,"Netflix"
"255",2018,"The Photographer of Mauthausen",6.8,76,1,0,0,0,"Netflix"
"256",1988,"Midnight Run",7.5,76,1,0,0,0,"Netflix"
"257",2018,"Flavors of Youth",6.6,76,1,0,0,0,"Netflix"
"258",2016,"13th",8.2,76,1,0,0,0,"Netflix"
"259",2017,"Ravenous",5.8,76,1,0,0,0,"Netflix"
"260",1999,"Austin Powers: The Spy Who Shagged Me",6.6,76,1,0,0,0,"Netflix"
"261",2003,"The Life of David Gale",7.5,76,1,0,0,0,"Netflix"
"262",2016,"Tramps",6.5,76,1,0,0,0,"Netflix"
"263",2004,"The Girl Next Door",6.7,76,1,0,0,0,"Netflix"
"264",2019,"The Two Popes",7.6,76,1,0,0,0,"Netflix"
"265",2019,"The Wandering Earth",6,76,1,0,0,0,"Netflix"
"266",2007,"Just Another Love Story",7.2,76,1,0,0,0,"Netflix"
"267",2019,"Eye for an Eye",6.6,76,1,0,0,0,"Netflix"
"268",2017,"Patton Oswalt: Annihilation",7.2,76,1,0,0,0,"Netflix"
"269",2017,"Joan Didion: The Center Will Not Hold",7.5,76,1,0,0,0,"Netflix"
"270",2015,"Steve Jobs",7.2,76,1,0,0,0,"Netflix"
"271",2018,"White Fang",7,76,1,0,0,1,"Disney Plus, Netflix"
"272",2016,"A Monster Calls",7.5,76,1,0,0,0,"Netflix"
"273",2013,"Olympus Has Fallen",6.5,76,1,0,0,0,"Netflix"
"274",2006,"Talladega Nights: The Ballad of Ricky Bobby",6.6,76,1,0,0,0,"Netflix"
"275",2009,"The Time Traveler's Wife",7.1,76,1,0,0,0,"Netflix"
"276",2009,"State of Play",7.1,76,1,0,0,0,"Netflix"
"277",1976,"The Outlaw Josey Wales",7.8,76,1,0,0,0,"Netflix"
"278",2008,"The Bank Job",7.2,76,1,0,0,0,"Netflix"
"279",2016,"Miss Sloane",7.5,76,1,0,0,0,"Netflix"
"280",2011,"Unknown",6.8,75,1,0,0,0,"Netflix"
"281",2019,"6 Underground",6.1,75,1,0,0,0,"Netflix"
"282",2020,"Uncorked",6.3,75,1,0,0,0,"Netflix"
"283",2019,"Petta",7.3,75,1,0,0,0,"Netflix"
"284",2016,"Justin Timberlake + The Tennessee Kids",7.7,75,1,0,0,0,"Netflix"
"285",1964,"My Fair Lady",7.8,75,1,0,0,0,"Netflix"
"286",2019,"Bikram: Yogi, Guru, Predator",6.7,75,1,0,0,0,"Netflix"
"287",2018,"A Futile and Stupid Gesture",6.8,75,1,0,0,0,"Netflix"
"288",2021,"The Dig",7.1,75,1,0,0,0,"Netflix"
"289",2001,"Legally Blonde",6.3,75,1,0,0,0,"Netflix"
"290",2015,"Legend",6.9,75,1,0,0,0,"Netflix"
"291",2016,"Notes on Blindness",7.1,75,1,0,0,0,"Netflix"
"292",2018,"When We First Met",6.4,75,1,0,0,0,"Netflix"
"293",2016,"Best Worst Thing That Ever Could Have Happened...",7.5,75,1,0,0,0,"Netflix"
"294",2014,"Imperial Dreams",6.7,75,1,0,0,0,"Netflix"
"295",2018,"Black Mirror: Bandersnatch",7.1,75,1,0,0,0,"Netflix"
"296",2013,"Queen",8.2,75,1,0,0,0,"Netflix"
"297",2017,"Joshua: Teenager vs. Superpower",7.1,75,1,0,0,0,"Netflix"
"298",1997,"Air Force One",6.5,75,1,0,0,0,"Netflix"
"299",2017,"Shot Caller",7.3,75,1,0,0,0,"Netflix"
"300",1998,"What Dreams May Come",7,75,1,0,0,0,"Netflix"
"301",2019,"Angel Has Fallen",6.4,75,1,0,0,0,"Netflix"
"302",2015,"Crimson Peak",6.5,75,1,0,0,0,"Netflix"
"303",2004,"Lemony Snicket's A Series of Unfortunate Events",6.8,75,1,0,0,0,"Netflix"
"304",2019,"The Red Sea Diving Resort",6.6,75,1,0,0,0,"Netflix"
"305",2018,"The Angel",6.6,75,1,0,0,0,"Netflix"
"306",2021,"Army of the Dead",5.8,75,1,0,0,0,"Netflix"
"307",2012,"Madagascar 3: Europe's Most Wanted",6.8,75,1,0,0,0,"Netflix"
"308",2017,"Icarus",7.9,75,1,0,0,0,"Netflix"
"309",2016,"Collateral Beauty",6.8,75,1,0,0,0,"Netflix"
"310",2015,"The Danish Girl",7.1,75,1,0,0,0,"Netflix"
"311",2010,"Green Zone",6.8,75,1,0,1,0,"Prime Video, Netflix"
"312",2012,"John Mulaney: New in Town",8.3,75,1,0,0,0,"Netflix"
"313",2017,"Strong Island",6.4,75,1,0,0,0,"Netflix"
"314",2021,"The White Tiger",7.1,75,1,0,0,0,"Netflix"
"315",2008,"Defiance",7.2,75,1,0,0,0,"Netflix"
"316",2018,"A Fortunate Man",7.2,75,1,0,0,0,"Netflix"
